11650 18 ST NE
390 SADDLECREST CI NE
165 SADDLEHORN CR NE
1228 CORNERSTONE WY NE
61 CORNER MEADOWS GD NE
161 SADDLELAKE TC NE
23 HARVEST ROSE CI NE
355 CORNER MEADOWS AV NE
54 SAVANNA DR NE
2312 MILLWARD RD NE
2720 CENTRE ST NE
42 TEMPLE PL NE
75 CITYSCAPE GV NE
119 TEMPLEVALE PL NE
10719 WEST VALLEY RD SW
36 HARVEST PARK RD NE
180 DEER LANE RD SE
11300 ROCKY RIDGE RD NW
900 ARBOUR LAKE RD NW
65 SKYVIEW SPRINGS RD NE
4007 GROVE HILL RD SW
56 TOMMY PRINCE RD SW
